"Country","Year","Oil","OilPCT","Coal","CoalPCT","Gas","GasPCT","Nuclear","NuclearPCT","Hydro","HydroPCT","Renewables","RenewablesPCT","Total","TotalPCT"
"Algeria",1965,1.289,60.1493233784414,0.07,3.26644890340644,0.695,32.4311712552497,0,0,0.089,4.15305646290247,0,0,2.143,100
"Algeria",1966,1.693,66.0038986354776,0.068,2.65107212475634,0.722,28.1481481481481,0,0,0.082,3.19688109161793,0,0,2.565,100
"Algeria",1967,1.578,65.1527663088357,0.052,2.14698596201486,0.7,28.9017341040462,0,0,0.092,3.79851362510322,0,0,2.422,100
"Algeria",1968,1.682,64.7171989226626,0.055,2.11619853789919,0.736,28.3185840707965,0,0,0.126,4.84801846864179,0,0,2.599,100
"Algeria",1969,1.775,61.3126079447323,0.07,2.41796200345423,0.968,33.4369602763385,0,0,0.082,2.83246977547496,0,0,2.895,100
"Algeria",1970,2.032,64.3649033892936,0.083,2.62907823883434,0.91,28.8248337028825,0,0,0.132,4.18118466898955,0,0,3.157,100
"Algeria",1971,2.288,66.9397308367466,0.023,0.672908133411352,1.033,30.2223522527794,0,0,0.074,2.16500877706261,0,0,3.418,100
"Algeria",1972,2.514,65.3496230829218,0.02,0.519885625162464,1.2,31.1931375097479,0,0,0.113,2.93735378216792,0,0,3.847,100
"Algeria",1973,2.739,59.504670866826,0.023,0.49967412557028,1.67,36.2806865087986,0,0,0.171,3.71496849880513,0,0,4.603,100
"Algeria",1974,3.036,59.5177416192903,0.019,0.372475985100961,1.933,37.8945304842188,0,0,0.113,2.21525191138992,0,0,5.101,100
"Algeria",1975,3.378,55.0162866449511,0.024,0.390879478827362,2.664,43.3876221498371,0,0,0.074,1.20521172638436,0,0,6.14,100
"Algeria",1976,3.877,54.1404831727412,0.047,0.656332914397431,3.15,43.9882697947214,0,0,0.087,1.21491411813992,0,0,7.161,100
"Algeria",1977,4.4,55.8446503363371,0.061,0.774209925117401,3.357,42.6069298134281,0,0,0.061,0.774209925117401,0,0,7.879,100
"Algeria",1978,4.521,45.2054794520548,0.031,0.30996900309969,5.391,53.9046095390461,0,0,0.058,0.57994200579942,0,0,10.001,100
"Algeria",1979,5.42,41.119793642364,0.072,0.546240801153175,7.623,57.8332448220924,0,0,0.066,0.50072073439041,0,0,13.181,100
"Algeria",1980,5.469,34.5614256825076,0.064,0.404448938321537,10.233,64.667593528817,0,0,0.058,0.366531850353893,0,0,15.824,100
"Algeria",1981,5.889,30.4845222072678,0.045,0.232943368878766,13.302,68.8580598405632,0,0,0.082,0.424474583290196,0,0,19.318,100
"Algeria",1982,6.245,28.0283649746421,0.835,3.74758763071675,15.093,67.7393294735425,0,0,0.108,0.484717921098694,0,0,22.281,100
"Algeria",1983,7.011,28.8127234619652,0.745,3.06168577651749,16.524,67.9077795586241,0,0,0.053,0.21781120289319,0,0,24.333,100
"Algeria",1984,7.76,33.4396276824959,0.826,3.55942428682237,14.517,62.5570973024218,0,0,0.103,0.443850728259933,0,0,23.206,100
"Algeria",1985,7.966,34.1054073725222,0.862,3.69054244980092,14.382,61.5746885302051,0,0,0.147,0.62936164747185,0,0,23.357,100
"Algeria",1986,8.078,32.6107141415365,0.885,3.57272617173307,15.75,63.5824149206734,0,0,0.058,0.234144766057083,0,0,24.771,100
"Algeria",1987,8.158,32.0688706317072,1.058,4.15896851291324,16.11,63.3279610047565,0,0,0.113,0.444199850623059,0,0,25.439,100
"Algeria",1988,8.168,29.855983624534,0.995,3.63696176621098,18.153,66.3535346151035,0,0,0.042,0.153519994151619,0,0,27.358,100
"Algeria",1989,8.553,32.2304706636018,0.841,3.16916004069789,17.082,64.3705015638542,0,0,0.061,0.229867731846102,0,0,26.537,100
"Algeria",1990,9.156,32.5963900459255,0.659,2.34611413720674,18.243,64.9471323293816,0,0,0.031,0.110363487486205,0,0,28.089,100
"Algeria",1991,9.069,32.5836237559731,0.68,2.44314303165307,18.018,64.7361046240075,0,0,0.066,0.237128588366328,0,0,27.833,100
"Algeria",1992,9.113,31.8982113479646,0.808,2.82824040043404,18.603,65.1160348629634,0,0,0.045,0.157513388638034,0,0,28.569,100
"Algeria",1993,9.079,34.2448702474351,0.658,2.4818949909475,16.695,62.9714846107423,0,0,0.08,0.301750150875075,0,0,26.512,100
"Algeria",1994,8.67,32.2029491512833,0.62,2.30286372246778,17.595,65.3530438658396,0,0,0.038,0.141143260409315,0,0,26.923,100
"Algeria",1995,8.433,30.1114046989931,0.62,2.2138113261444,18.909,67.5176747839749,0,0,0.044,0.157109190887667,0,0,28.006,100
"Algeria",1996,8.06,28.9875921596835,0.292,1.05017083258407,19.422,69.8507462686567,0,0,0.031,0.111490739075706,0,0,27.805,100
"Algeria",1997,7.986,29.9561123823099,0.512,1.92055215874564,18.144,68.0595671255486,0,0,0.017,0.0637683333958513,0,0,26.659,100
"Algeria",1998,8.217,29.7944087892962,0.548,1.98701910874216,18.765,68.040900685304,0,0,0.049,0.177671416657602,0,0,27.579,100
"Algeria",1999,8.11,29.0451973354344,0.587,2.10228493660913,19.179,68.6877730821574,0,0,0.046,0.164744645799012,0,0,27.922,100
"Algeria",2000,8.483,31.6046347006445,0.485,1.80693714839238,17.861,66.5437204277039,0,0,0.012,0.044707723259193,0,0,26.841,100
"Algeria",2001,8.782,31.5797044122406,0.56,2.01373656010644,18.451,66.3490236973642,0,0,0.016,0.0575353302887554,0,0,27.809,100
"Algeria",2002,9.734,33.9151945925229,0.735,2.5608863802655,18.219,63.4786244381729,0,0,0.013,0.0452945890387094,0,0,28.701,100
"Algeria",2003,10.125,33.6972077079243,0.606,2.01684028355576,19.256,64.0862648517323,0,0,0.06,0.199687156787699,0,0,30.047,100
"Algeria",2004,10.59,33.9597229348384,0.723,2.31849666495639,19.814,63.53899435608,0,0,0.057,0.182786044125192,0,0,31.184,100
"Algeria",2005,11.034396,33.7873688314735,0.594,1.81883059896484,20.9043,64.0090580638734,0,0,0.125650540797393,0.38474250568818,0,0,32.6583465407974,100
"Algeria",2006,11.5159,34.0574725311743,0.882,2.60845359654875,21.366,63.1884575327217,0,0,0.0492374530479249,0.145616339555283,0,0,33.8131374530479,100
"Algeria",2007,12.900566315,36.2669262532488,0.757,2.1281285257832,21.8624553846154,61.4611822294088,0,0,0.0511381635516131,0.143762991559253,0,0,35.571159863167,100
"Algeria",2008,14.020728,37.2285116581122,0.757,2.01002282657441,22.8195,60.5914344663338,0,0,0.0640358419694979,0.170031048979659,0,0,37.6612638419695,100
"Algeria",2009,14.868,37.2248265201246,0.486,1.21679215017356,24.5097,61.3646307882902,0,0,0.0773860705073084,0.193750541411668,0,0,39.9410860705073,100
"Algeria",2010,14.835,38.1668541621503,0.31,0.797554754989321,23.6826,60.9295814210003,0,0,0.03914558537358,0.100712089521094,0.0020591030456623,0.00529757233897084,38.8688046884192,100
"Algeria",2011,15.831,38.3758264319127,0.275,0.66662575129657,25.0569,60.7402719551382,0,0,0.0855319726659724,0.207337511048478,0.00409982124270261,0.00993835060399369,41.2525317939087,100
"Algeria",2012,16.862,37.3199505906939,0.292,0.646271235469257,27.9342,61.8255820063196,0,0,0.0880209983255642,0.194813148407876,0.00604675152704667,0.0133830191094523,45.1822677498526,100
"Algeria",2013,17.712,36.9503658908549,0.158,0.329615955891773,30.0357,62.6597845973324,0,0,0.0224012309363261,0.0467329313179081,0.00647146671493865,0.0135006246029512,47.9345726976513,100
"Algeria",2014,18.24,34.9260199251212,0.179,0.342749866589731,33.7482,64.6211790371149,0,0,0.0436710865728378,0.0836215591992668,0.0138027786577363,0.0264296119748978,52.2246738652306,100
"Algeria",2015,19.3016,35.3188881894929,0.179,0.327541809275875,35.118,64.2604092634088,0,0,0.032809883694619,0.0600369199299807,0.0181020047970312,0.0331238178924032,54.6495118884917,100
"Argentina",1965,22.0496758793508,81.8600640479541,0.796139692982456,2.95569180314777,3.816,14.1670111667959,0,0,0.274,1.01723298210222,0,0,26.9358155723333,100
"Argentina",1966,22.7566886832719,81.270491447911,0.833481578947368,2.97659551776644,4.133,14.7600973862741,0,0,0.278,0.992815648048443,0,0,28.0011702622193,100
"Argentina",1967,23.3005960759884,81.1197479184098,0.817107675438596,2.84471557884662,4.322,15.0468060713977,0,0,0.284,0.988730431345891,0,0,28.723703751427,100
"Argentina",1968,23.7958144981939,80.3925129245643,0.656726096491228,2.21870368018195,4.812,16.2570090728504,0,0,0.335,1.13177432240334,0,0,29.5995405946851,100
"Argentina",1969,24.6998991856915,80.5367652712966,0.875198464912281,2.85368182293114,4.794,15.6313695779883,0,0,0.3,0.978183327783998,0,0,30.6690976506038,100
"Argentina",1970,22.1202212922182,76.6103179711664,0.979746578947368,3.39321636762855,5.418,18.7644914254904,0,0,0.343,1.18793291970159,0.01271635051269,0.0440413160130864,28.8736842216783,100
"Argentina",1971,23.61,77.0950873831285,0.80717572368421,2.63571719402686,5.849,19.0990752267649,0,0,0.345,1.12654829085893,0.0133436865717912,0.0435719052208946,30.624519410256,100
"Argentina",1972,23.633,75.5755778251843,0.720065350877193,2.30268501520915,6.564,20.990906480113,0,0,0.336,1.07448881433851,0.0176184865207507,0.0563418651551202,31.2706838373979,100
"Argentina",1973,23.686,72.6601965288787,0.760040394736842,2.3315327388105,7.469,22.9122269642065,0,0,0.67,2.05532093533516,0.0132749574464351,0.0407228327691664,32.5983153521833,100
"Argentina",1974,23.856,69.9445405613893,0.974360197368421,2.856772985674,7.906,23.1799772668655,0.232,0.680211829738528,1.125,3.29844098472347,0.0136620355704394,0.0400563716091441,34.1070222329389,100
"Argentina",1975,22.429,67.4016463190025,1.05201800438597,3.16143142595951,8.1,24.3414033253342,0.518,1.55664776821273,1.162,3.49193958815288,0.0156172484781934,0.0469315733382305,33.2766352528642,100
"Argentina",1976,23.316,66.296221915988,1.07387359649123,3.0534295017457,9.117,25.9230852293731,0.531,1.5098341841392,1.118,3.1788975854381,0.0135513362696755,0.0385315833158597,35.1694249327609,100
"Argentina",1977,24.539,67.0772010215697,0.850586710526316,2.32507338392964,9.522,26.0283266688694,0.366,1.00045868103405,1.291,3.52894032025944,0.0146332603086315,0.0399999243377087,36.5832199708349,100
"Argentina",1978,24.527,65.5807860010443,1.21517197368421,3.24915126842463,9.261,24.7622481002842,0.648,1.7326354355884,1.734,4.63640408226896,0.0145017655256601,0.0387751123894336,37.3996737392099,100
"Argentina",1979,25.95,65.7949357845213,0.960157697368421,2.43443214032251,9.522,24.1425579398926,0.602,1.52634109218812,2.384,6.04451356109051,0.0225677788085863,0.0572194819849794,39.440725476177,100
"Argentina",1980,24.259,61.4085940227343,0.934129495614035,2.36463081581367,10.377,26.2680646429743,0.523,1.32390843290696,3.388,8.57629401661337,0.023113169539624,0.0585080689573931,39.5042426651537,100
"Argentina",1981,22.425,58.936556137658,0.848411842105263,2.2297646448201,10.845,28.5024281521918,0.63,1.65574271423521,3.281,8.62300292921543,0.0199779926552791,0.0525054218794014,38.0493898347605,100
"Argentina",1982,21.518,55.0497085182086,0.842520131578947,2.15542744047513,12.321,31.5209340390765,0.421,1.07704839140096,3.959,10.1283481747183,0.0267885610685026,0.0685334361206105,39.0883086926475,100
"Argentina",1983,21.973,53.7156649700467,0.766964473684211,1.8749377286829,13.248,32.3863436728339,0.762,1.86280147031246,4.12,10.0718399707183,0.0361660047390299,0.088412187405764,40.9061304784232,100
"Argentina",1984,20.701,50.6968905569436,0.516481140350877,1.2648658445048,14.103,34.5383434387023,1.038,2.54206909801978,4.446,10.8882844025009,0.0283979032825581,0.0695466593286565,40.8328790436334,100
"Argentina",1985,18.729,47.1182410941089,0.601079736842105,1.51219071799401,14.409,36.2500259450593,1.305,3.28310665960874,4.674,11.7588050015412,0.0308573310605259,0.0776305816877888,39.7489370679026,100
"Argentina",1986,21.552,48.8720656174833,0.894894912280702,2.02929486236704,15.57,35.3070741306707,1.292,2.9297841860518,4.758,10.7894064684477,0.0319163978147294,0.0723747349793595,44.0988113100954,100
"Argentina",1987,23.007,49.9835425189728,0.993464671052632,2.15833805479448,15.579,33.8459429261997,1.463,3.17842059830735,4.953,10.7605722648095,0.0336858063609491,0.0731836369160857,46.0291504774136,100
"Argentina",1988,23.01,48.7873120469649,1.03121333333333,2.1864461834126,18.198,38.5845938561785,1.312,2.78178850089604,3.576,7.58206987744226,0.036688580036144,0.0777895351057542,47.1639019133695,100
"Argentina",1989,20.867,46.1578722689093,1.0325898245614,2.28409207017207,19.116,42.2846545403015,1.14,2.52168372964761,3.016,6.67140186720806,0.0362999118453537,0.0802955237614657,45.2078897364068,100
"Argentina",1990,19.699,44.082411353507,0.939285964912281,2.10193361509919,18.261,40.8644557452861,1.647,3.68565569314311,4.111,9.19959353643674,0.0294709414402006,0.065950056527846,44.6867569063525,100
"Argentina",1991,20.211,44.8733305595338,0.73400350877193,1.62966612641534,18.594,41.2831976856153,1.755,3.89652640304694,3.718,8.2548633427513,0.0281121857516159,0.0624158826373399,45.0401156945235,100
"Argentina",1992,21.339,44.2227690352361,0.650000877192983,1.34705650052983,20.106,41.6675099218547,1.603,3.32204408657779,4.52664400259091,9.38098000053022,0.0287785614243956,0.0596404552714467,48.2534234412083,100
"Argentina",1993,21.143,42.0125651346944,0.76875,1.52755803089894,21.231,42.1874270621339,1.754,3.48531614464617,5.39608877844831,10.7223918685689,0.0325815623817991,0.0647417590576287,50.3254203408301,100
"Argentina",1994,20.343,39.4631342603183,1.08333333333333,2.10154494332259,21.825,42.3380477427836,1.864,3.61595056094152,6.39878442295052,12.4129228130428,0.0352596089490594,0.0683996795911641,51.5493773652329,100
"Argentina",1995,20.309,37.8347905494783,0.971279736842105,1.80945223341245,24.291,45.2530847032043,1.599,2.97886799392465,6.47420944293815,12.0611727927037,0.0336195266522505,0.0626317272766015,53.6781087064325,100
"Argentina",1996,21.11,36.6665981424906,0.912723245614035,1.58533663961343,27.873,48.4134576042463,1.688,2.93193830717784,5.88726565103442,10.2257699566351,0.101845970562639,0.176899349836675,57.5728348672111,100
"Argentina",1997,21.099,36.963304970056,0.846019385964912,1.48214003384049,25.686,44.9992630674846,1.802,3.15692097047447,7.51141774810137,13.1592409583659,0.136497639196874,0.239129999778507,57.0809347732632,100
"Argentina",1998,21.598,36.6135225856535,0.730543771929825,1.23843785967965,27.459,46.5492507028179,1.687,2.85984871756633,7.37176718079094,12.4968221210329,0.142823319934144,0.24211801324969,58.9891342726549,100
"Argentina",1999,20.093,34.7529758031757,0.735789473684211,1.27262597796142,29.124,50.3730486881843,1.608,2.7812066436822,6.06577153167181,10.4913955739701,0.190070622960381,0.32874731302626,57.8166316283164,100
"Argentina",2000,20.328,33.7997637017737,0.614249385964912,1.0213244834501,29.889,49.6970256435612,1.398,2.3244819783097,7.71620810540112,12.8298903303949,0.196974803014989,0.327513862510333,60.142432294381,100
"Argentina",2001,19.55,32.87828604372,0.664551553672316,1.11761207531647,27.981,47.0571520096844,1.597,2.6857607576379,9.48686758977737,15.9545752570638,0.182317925214165,0.306613856577436,59.4617370686639,100
"Argentina",2002,18.06,31.7786590163164,0.560939971751413,0.987038764723715,27.243,47.9372097221211,1.317,2.31741383856526,9.39155779179301,16.5255322645304,0.258094083415861,0.454146393743154,56.8305918469603,100
"Argentina",2003,18.6,30.3553478274571,0.680694915254237,1.11089951166257,31.122,50.7913513487161,1.712,2.79399760648422,8.84918332988196,14.4419375251345,0.31033315815356,0.506466180545407,61.2742114032898,100
